SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
NW10OB0003,12/07/2000 20:19,,98.4,,,10101,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NW10OB0003,12/07/2000 20:19,,0.196,,,100216,MG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
NW10OB0003,12/07/2000 20:19,<,0.005,0.005,,7563,MG/L,AMMONIA DISSOLVED,AMMONIAC DISSOUS,P
NW10OB0003,12/07/2000 20:19,<,0.0001,0.0001,,100253,MG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
NW10OB0003,12/07/2000 20:19,,0.0279,,,100217,MG/L,BARIUM TOTAL,BARYUM TOTAL,P
NW10OB0003,12/07/2000 20:19,<,0.05,0.05,,100218,UG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
NW10OB0003,12/07/2000 20:19,<,0.0001,0.0001,,100219,MG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
NW10OB0003,12/07/2000 20:19,,22.7,,,20103,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
NW10OB0003,12/07/2000 20:19,,22.5,,,100232,MG/L,CALCIUM TOTAL,CALCIUM TOTAL,P
NW10OB0003,12/07/2000 20:19,,4.3,,,6101,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
NW10OB0003,12/07/2000 20:19,,0.49,,,17206,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NW10OB0003,12/07/2000 20:19,<,0.0002,0.0002,,100221,MG/L,CHROMIUM TOTAL,CHROME TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.0002,,,100220,MG/L,COBALT TOTAL,COBALT TOTAL,P
NW10OB0003,12/07/2000 20:19,<,5,5,,2021,REL UNITS,COLOUR TRUE,COULEUR VRAIE,P
NW10OB0003,12/07/2000 20:19,,230,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NW10OB0003,12/07/2000 20:19,,0.0011,,,100222,MG/L,COPPER TOTAL,CUIVRE TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.021,,,7110,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P
NW10OB0003,12/07/2000 20:19,,0.01,,,9117,MG/L,FLUORIDE DISSOLVED,FLUORURE DISSOUS,P
NW10OB0003,12/07/2000 20:19,,0.268,,,100223,MG/L,IRON TOTAL,FER TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.0004,,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.001,,,100224,MG/L,LITHIUM TOTAL,LITHIUM TOTAL,P
NW10OB0003,12/07/2000 20:19,,10.2,,,12102,MG/L,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,P
NW10OB0003,12/07/2000 20:19,,10.6,,,100233,MG/L,MAGNESIUM TOTAL,MAGNÉSIUM TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.0077,,,100225,MG/L,MANGANESE TOTAL,MANGANÈSE TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.0001,,,100226,MG/L,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.0004,,,100227,MG/L,NICKEL TOTAL,NICKEL TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.044,,,7657,MG/L,NITROGEN TOTAL DISSOLVED,AZOTE TOTAL DISSOUS,P
NW10OB0003,12/07/2000 20:19,,8.3,,,10301,PH,PH,PH,P
NW10OB0003,12/07/2000 20:19,,8.42,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NW10OB0003,12/07/2000 20:19,,0.01,,,15411,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.01,,,15104,MG/L,PHOSPHORUS TOTAL DISSOLVED,PHOSPHORE TOTAL DISSOUS,P
NW10OB0003,12/07/2000 20:19,,0.55,,,100235,MG/L,POTASSIUM TOTAL,POTASSIUM TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.5,,,100499,MG/L,"POTASSIUM, FILTERED","POTASSIUM, FILTRÉ",P
NW10OB0003,12/07/2000 20:19,<,3,3,,10406,MG/L,RESIDUE NONFILTRABLE,RÉSIDUS NON-FILTRABLES,P
NW10OB0003,12/07/2000 20:19,<,0.0001,0.0001,,100254,MG/L,SELENIUM DISSOLVED,SÉLÉNIUM DISSOUS,P
NW10OB0003,12/07/2000 20:19,<,0.0001,0.0001,,100324,MG/L,SILVER TOTAL,ARGENT TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.33,,,100234,MG/L,SODIUM TOTAL,SODIUM TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.44,,,100500,MG/L,"SODIUM, FILTERED","SODIUM, FILTRÉ",P
NW10OB0003,12/07/2000 20:19,,189,,,2041,US/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NW10OB0003,12/07/2000 20:19,,0.0511,,,100229,MG/L,STRONTIUM TOTAL,STRONTIUM TOTAL,P
NW10OB0003,12/07/2000 20:19,,5.8,,,16306,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NW10OB0003,12/07/2000 20:19,,7.4,,,2081,NTU,TURBIDITY,TURBIDITÉ,P
NW10OB0003,12/07/2000 20:19,,0.0004,,,100230,MG/L,VANADIUM TOTAL,VANADIUM TOTAL,P
NW10OB0003,12/07/2000 20:19,,0.0005,,,100231,MG/L,ZINC TOTAL,ZINC TOTAL,P
NW10OB0003,22/09/2000 13:50,,149,,,10101,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NW10OB0003,22/09/2000 13:50,,0.113,,,100216,MG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.024,,,7563,MG/L,AMMONIA DISSOLVED,AMMONIAC DISSOUS,P
NW10OB0003,22/09/2000 13:50,<,0.0001,0.0001,,100253,MG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
NW10OB0003,22/09/2000 13:50,,0.0432,,,100217,MG/L,BARIUM TOTAL,BARYUM TOTAL,P
NW10OB0003,22/09/2000 13:50,<,0.05,0.05,,100218,UG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
NW10OB0003,22/09/2000 13:50,<,0.0001,0.0001,,100219,MG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
NW10OB0003,22/09/2000 13:50,,37.1,,,20103,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
NW10OB0003,22/09/2000 13:50,,36,,,100232,MG/L,CALCIUM TOTAL,CALCIUM TOTAL,P
NW10OB0003,22/09/2000 13:50,,4.4,,,6101,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
NW10OB0003,22/09/2000 13:50,,1,,,17206,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NW10OB0003,22/09/2000 13:50,<,0.0002,0.0002,,100221,MG/L,CHROMIUM TOTAL,CHROME TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.0002,,,100220,MG/L,COBALT TOTAL,COBALT TOTAL,P
NW10OB0003,22/09/2000 13:50,,15,,,2021,REL UNITS,COLOUR TRUE,COULEUR VRAIE,P
NW10OB0003,22/09/2000 13:50,,292,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NW10OB0003,22/09/2000 13:50,,0.0009,,,100222,MG/L,COPPER TOTAL,CUIVRE TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.043,,,7110,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P
NW10OB0003,22/09/2000 13:50,,0.06,,,9117,MG/L,FLUORIDE DISSOLVED,FLUORURE DISSOUS,P
NW10OB0003,22/09/2000 13:50,,0.165,,,100223,MG/L,IRON TOTAL,FER TOTAL,P
NW10OB0003,22/09/2000 13:50,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.0023,,,100224,MG/L,LITHIUM TOTAL,LITHIUM TOTAL,P
NW10OB0003,22/09/2000 13:50,,19.9,,,12102,MG/L,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,P
NW10OB0003,22/09/2000 13:50,,19.3,,,100233,MG/L,MAGNESIUM TOTAL,MAGNÉSIUM TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.0059,,,100225,MG/L,MANGANESE TOTAL,MANGANÈSE TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.0001,,,100226,MG/L,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.0005,,,100227,MG/L,NICKEL TOTAL,NICKEL TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.734,,,7657,MG/L,NITROGEN TOTAL DISSOLVED,AZOTE TOTAL DISSOUS,P
NW10OB0003,22/09/2000 13:50,,8.34,,,10301,PH,PH,PH,P
NW10OB0003,22/09/2000 13:50,,6.87,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NW10OB0003,22/09/2000 13:50,,0.007,,,15411,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NW10OB0003,22/09/2000 13:50,<,0.004,0.004,,15104,MG/L,PHOSPHORUS TOTAL DISSOLVED,PHOSPHORE TOTAL DISSOUS,P
NW10OB0003,22/09/2000 13:50,,0.62,,,100235,MG/L,POTASSIUM TOTAL,POTASSIUM TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.65,,,100499,MG/L,"POTASSIUM, FILTERED","POTASSIUM, FILTRÉ",P
NW10OB0003,22/09/2000 13:50,<,3,3,,10406,MG/L,RESIDUE NONFILTRABLE,RÉSIDUS NON-FILTRABLES,P
NW10OB0003,22/09/2000 13:50,,0.0001,,,100254,MG/L,SELENIUM DISSOLVED,SÉLÉNIUM DISSOUS,P
NW10OB0003,22/09/2000 13:50,<,0.0001,0.0001,,100324,MG/L,SILVER TOTAL,ARGENT TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.59,,,100234,MG/L,SODIUM TOTAL,SODIUM TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.63,,,100500,MG/L,"SODIUM, FILTERED","SODIUM, FILTRÉ",P
NW10OB0003,22/09/2000 13:50,,306,,,2041,US/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NW10OB0003,22/09/2000 13:50,,0.132,,,100229,MG/L,STRONTIUM TOTAL,STRONTIUM TOTAL,P
NW10OB0003,22/09/2000 13:50,,14.3,,,16306,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NW10OB0003,22/09/2000 13:50,,5.1,,,2081,NTU,TURBIDITY,TURBIDITÉ,P
NW10OB0003,22/09/2000 13:50,,0.0003,,,100230,MG/L,VANADIUM TOTAL,VANADIUM TOTAL,P
NW10OB0003,22/09/2000 13:50,,0.0009,,,100231,MG/L,ZINC TOTAL,ZINC TOTAL,P
NW10OB0003,21/06/2002 13:10,,89.2,,,10101,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NW10OB0003,21/06/2002 13:10,<,0.005,0.005,,7563,MG/L,AMMONIA DISSOLVED,AMMONIAC DISSOUS,P
NW10OB0003,21/06/2002 13:10,,0.01,,,103381,UG/L,ANTIMONY TOTAL,ANTIMOINE TOTAL,P
NW10OB0003,21/06/2002 13:10,,0.0001,,,100253,MG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
NW10OB0003,21/06/2002 13:10,,35.8,,,103367,UG/L,BARIUM TOTAL,BARYUM TOTAL,P
NW10OB0003,21/06/2002 13:10,,0.044,,,103368,UG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
NW10OB0003,21/06/2002 13:10,,0.01,,,103713,UG/L,BISMUTH TOTAL,BISMUTH TOTAL,P
NW10OB0003,21/06/2002 13:10,,6.2,,,103366,UG/L,BORON TOTAL,BORE TOTAL,P
NW10OB0003,21/06/2002 13:10,<,0.005,0.005,,103369,UG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
NW10OB0003,21/06/2002 13:10,,21.2,,,20103,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
NW10OB0003,21/06/2002 13:10,,3.6,,,6101,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
NW10OB0003,21/06/2002 13:10,,2.44,,,6902,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
NW10OB0003,21/06/2002 13:10,,1.11,,,103714,UG/L,CERIUM TOTAL,CÉRIUM TOTAL,P
NW10OB0003,21/06/2002 13:10,,0.095,,,103715,UG/L,CESIUM TOTAL,CÉSIUM TOTAL,P
NW10OB0003,21/06/2002 13:10,,0.67,,,17206,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NW10OB0003,21/06/2002 13:10,,0.93,,,103371,UG/L,CHROMIUM TOTAL,CHROME TOTAL,P
NW10OB0003,21/06/2002 13:10,,0.63,,,103370,UG/L,COBALT TOTAL,COBALT TOTAL,P
