SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
NW06MA0001,17/02/2000 14:30,,7.2,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NW06MA0001,17/02/2000 14:30,,0.008,,,100216,MG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
NW06MA0001,17/02/2000 14:30,,0.021,,,7557,MG/L,AMMONIA DISSOLVED,AMMONIAC DISSOUS,P
NW06MA0001,17/02/2000 14:30,,0.0001,,,100253,MG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
NW06MA0001,17/02/2000 14:30,,0.0196,,,100217,MG/L,BARIUM TOTAL,BARYUM TOTAL,P
NW06MA0001,17/02/2000 14:30,<,0.05,0.05,,100218,UG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
NW06MA0001,17/02/2000 14:30,<,0.0001,0.0001,,100219,MG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
NW06MA0001,17/02/2000 14:30,,2.12,,,100431,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
NW06MA0001,17/02/2000 14:30,,2.28,,,100232,MG/L,CALCIUM TOTAL,CALCIUM TOTAL,P
NW06MA0001,17/02/2000 14:30,,3.7,,,6104,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
NW06MA0001,17/02/2000 14:30,,0.046,,,6902,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
NW06MA0001,17/02/2000 14:30,,1.64,,,17206,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NW06MA0001,17/02/2000 14:30,<,0.0002,0.0002,,100221,MG/L,CHROMIUM TOTAL,CHROME TOTAL,P
NW06MA0001,17/02/2000 14:30,<,0.0001,0.0001,,100220,MG/L,COBALT TOTAL,COBALT TOTAL,P
NW06MA0001,17/02/2000 14:30,,10,,,2021,REL UNITS,COLOUR TRUE,COULEUR VRAIE,P
NW06MA0001,17/02/2000 14:30,,17.1,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NW06MA0001,17/02/2000 14:30,,0.0006,,,100222,MG/L,COPPER TOTAL,CUIVRE TOTAL,P
NW06MA0001,17/02/2000 14:30,,0.024,,,7110,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P
NW06MA0001,17/02/2000 14:30,,0.05,,,9117,MG/L,FLUORIDE DISSOLVED,FLUORURE DISSOUS,P
NW06MA0001,17/02/2000 14:30,,0.0116,,,100223,MG/L,IRON TOTAL,FER TOTAL,P
NW06MA0001,17/02/2000 14:30,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P
NW06MA0001,17/02/2000 14:30,,0.0009,,,100224,MG/L,LITHIUM TOTAL,LITHIUM TOTAL,P
NW06MA0001,17/02/2000 14:30,,1.04,,,100432,MG/L,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,P
NW06MA0001,17/02/2000 14:30,,1.02,,,100233,MG/L,MAGNESIUM TOTAL,MAGNÉSIUM TOTAL,P
NW06MA0001,17/02/2000 14:30,,0.0016,,,100225,MG/L,MANGANESE TOTAL,MANGANÈSE TOTAL,P
NW06MA0001,17/02/2000 14:30,<,0.0001,0.0001,,100226,MG/L,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,P
NW06MA0001,17/02/2000 14:30,<,0.0002,0.0002,,100227,MG/L,NICKEL TOTAL,NICKEL TOTAL,P
NW06MA0001,17/02/2000 14:30,,0.018,,,7902,MG/L,NITROGEN PARTICULATE,AZOTE PARTICULAIRE,P
NW06MA0001,17/02/2000 14:30,,0.193,,,7657,MG/L,NITROGEN TOTAL DISSOLVED,AZOTE TOTAL DISSOUS,P
NW06MA0001,17/02/2000 14:30,,7.04,,,10301,PH,PH,PH,P
NW06MA0001,17/02/2000 14:30,,6.98,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NW06MA0001,17/02/2000 14:30,,0.021,,,15411,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NW06MA0001,17/02/2000 14:30,,0.006,,,15104,MG/L,PHOSPHORUS TOTAL DISSOLVED,PHOSPHORE TOTAL DISSOUS,P
NW06MA0001,17/02/2000 14:30,,0.39,,,100434,MG/L,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTRÉ,P
NW06MA0001,17/02/2000 14:30,,0.37,,,100235,MG/L,POTASSIUM TOTAL,POTASSIUM TOTAL,P
NW06MA0001,17/02/2000 14:30,<,3,3,,10406,MG/L,RESIDUE NONFILTRABLE,RÉSIDUS NON-FILTRABLES,P
NW06MA0001,17/02/2000 14:30,,0.0001,,,100254,MG/L,SELENIUM DISSOLVED,SÉLÉNIUM DISSOUS,P
NW06MA0001,17/02/2000 14:30,<,0.0001,0.0001,,100324,MG/L,SILVER TOTAL,ARGENT TOTAL,P
NW06MA0001,17/02/2000 14:30,,0.55,,,100433,MG/L,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTRÉ,P
NW06MA0001,17/02/2000 14:30,,0.46,,,100234,MG/L,SODIUM TOTAL,SODIUM TOTAL,P
NW06MA0001,17/02/2000 14:30,,26,,,2041,US/CM,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,P
NW06MA0001,17/02/2000 14:30,,0.0158,,,100229,MG/L,STRONTIUM TOTAL,STRONTIUM TOTAL,P
NW06MA0001,17/02/2000 14:30,,1,,,16306,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
NW06MA0001,17/02/2000 14:30,,2.1,,,2081,NTU,TURBIDITY,TURBIDITÉ,P
NW06MA0001,17/02/2000 14:30,<,0.0001,0.0001,,100230,MG/L,VANADIUM TOTAL,VANADIUM TOTAL,P
NW06MA0001,17/02/2000 14:30,,0.0009,,,100231,MG/L,ZINC TOTAL,ZINC TOTAL,P
NW06MA0001,12/05/2000 14:15,,8.6,,,10101,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NW06MA0001,12/05/2000 14:15,,0.007,,,100216,MG/L,ALUMINUM TOTAL,ALUMINIUM TOTAL,P
NW06MA0001,12/05/2000 14:15,<,0.0001,0.0001,,100253,MG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
NW06MA0001,12/05/2000 14:15,,0.0213,,,100217,MG/L,BARIUM TOTAL,BARYUM TOTAL,P
NW06MA0001,12/05/2000 14:15,<,0.05,0.05,,100218,UG/L,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,P
NW06MA0001,12/05/2000 14:15,<,0.0001,0.0001,,100219,MG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
NW06MA0001,12/05/2000 14:15,,2.46,,,20103,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
NW06MA0001,12/05/2000 14:15,,2.48,,,100232,MG/L,CALCIUM TOTAL,CALCIUM TOTAL,P
NW06MA0001,12/05/2000 14:15,,3.8,,,6101,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
NW06MA0001,12/05/2000 14:15,,0.118,,,6902,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
NW06MA0001,12/05/2000 14:15,,1.85,,,17206,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NW06MA0001,12/05/2000 14:15,<,0.0002,0.0002,,100221,MG/L,CHROMIUM TOTAL,CHROME TOTAL,P
NW06MA0001,12/05/2000 14:15,<,0.0001,0.0001,,100220,MG/L,COBALT TOTAL,COBALT TOTAL,P
NW06MA0001,12/05/2000 14:15,,10,,,2021,REL UNITS,COLOUR TRUE,COULEUR VRAIE,P
NW06MA0001,12/05/2000 14:15,,18,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NW06MA0001,12/05/2000 14:15,,0.0003,,,100222,MG/L,COPPER TOTAL,CUIVRE TOTAL,P
NW06MA0001,12/05/2000 14:15,<,0.008,0.008,,7110,MG/L,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,P
NW06MA0001,12/05/2000 14:15,,0.05,,,9117,MG/L,FLUORIDE DISSOLVED,FLUORURE DISSOUS,P
NW06MA0001,12/05/2000 14:15,,0.0111,,,100223,MG/L,IRON TOTAL,FER TOTAL,P
NW06MA0001,12/05/2000 14:15,<,0.0002,0.0002,,100228,MG/L,LEAD TOTAL,PLOMB TOTAL,P
NW06MA0001,12/05/2000 14:15,,0.0006,,,100224,MG/L,LITHIUM TOTAL,LITHIUM TOTAL,P
NW06MA0001,12/05/2000 14:15,,1.15,,,12102,MG/L,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,P
NW06MA0001,12/05/2000 14:15,,1.08,,,100233,MG/L,MAGNESIUM TOTAL,MAGNÉSIUM TOTAL,P
NW06MA0001,12/05/2000 14:15,,0.0012,,,100225,MG/L,MANGANESE TOTAL,MANGANÈSE TOTAL,P
NW06MA0001,12/05/2000 14:15,<,0.0001,0.0001,,100226,MG/L,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,P
NW06MA0001,12/05/2000 14:15,,0.0003,,,100227,MG/L,NICKEL TOTAL,NICKEL TOTAL,P
NW06MA0001,12/05/2000 14:15,,0.025,,,7902,MG/L,NITROGEN PARTICULATE,AZOTE PARTICULAIRE,P
NW06MA0001,12/05/2000 14:15,,0.266,,,7657,MG/L,NITROGEN TOTAL DISSOLVED,AZOTE TOTAL DISSOUS,P
NW06MA0001,12/05/2000 14:15,,6.81,,,10301,PH,PH,PH,P
NW06MA0001,12/05/2000 14:15,,7.2,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NW06MA0001,12/05/2000 14:15,,0.014,,,15411,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
