SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
NB01AJ0008,08/09/2006 8:30,,146.8,,,10110,MG/L,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,P
NB01AJ0008,08/09/2006 8:30,,147.4,,,10111,MG/L,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,P
NB01AJ0008,08/09/2006 8:30,,24.2,,,110688,UG/L,ALUMINUM EXTRACTABLE,ALUMINIUM EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,<,0.1,,,110689,UG/L,ANTIMONY EXTRACTABLE,ANTIMOINE EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,0.5,,,110690,UG/L,ARSENIC EXTRACTABLE,ARSENIC EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,16.1,,,110691,UG/L,BARIUM EXTRACTABLE,BARYUM EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,<,0.1,,,110692,UG/L,BERYLLIUM EXTRACTABLE,BÉRYLLIUM EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,<,0.1,,,110694,UG/L,CADMIUM EXTRACTABLE,CADMIUM EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,57.88,,,102952,MG/L,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,P
NB01AJ0008,08/09/2006 8:30,,5.2,,,3019,%,CARBON TOTAL INORGANIC,CARBONE INORGANIQUE TOTAL,P
NB01AJ0008,08/09/2006 8:30,,36.4,,,3022,%,CARBON TOTAL INORGANIC,CARBONE INORGANIQUE TOTAL,P
NB01AJ0008,08/09/2006 8:30,,9.88,,,17209,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NB01AJ0008,08/09/2006 8:30,<,0.4,,,110695,UG/L,CHROMIUM EXTRACTABLE,CHROME EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,0.1,,,110696,UG/L,COBALT EXTRACTABLE,COBALT EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,11,,,2011,REL UNITS,COLOUR APPARENT,COULEUR APPARENTE,P
NB01AJ0008,08/09/2006 8:30,,324.7,,,109027,US/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NB01AJ0008,08/09/2006 8:30,,0.7,,,110697,UG/L,COPPER EXTRACTABLE,CUIVRE EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,0.19,,,7315,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
NB01AJ0008,08/09/2006 8:30,,0.09,,,102082,MG/L,IRON EXTRACTABLE,FER EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,<,0.1,,,110698,UG/L,LEAD EXTRACTABLE,PLOMB EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,,4.89,,,102953,MG/L,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,P
NB01AJ0008,08/09/2006 8:30,,22.1,,,110699,UG/L,MANGANESE EXTRACTABLE,MANGANÈSE EXTRACTIBLE,P
NB01AJ0008,08/09/2006 8:30,<,0.1,,,110700,UG/L,MOLYBDENUM EXTRACTABLE,MOLYBDÈNE EXTRACTIBLE,P
